Anode_Alloy,Anode_Table1_Group,Anode_Group_ID,Cathode_Alloy,Cathode_Table1_Group,Cathode_Group_ID,Potential_Difference_V,Environment,Electrolyte_Conductivity_Sm,Cathode_Anode_Area_Ratio,R_p_Anode_Ohm_m2,R_p_Cathode_Ohm_m2,Target_Galvanic_Current_Density,PDF_Compatibility_Status
Cadmium,"Cadmium, Beryllium",3,Tin,"Tin, Tin-Lead, Indium",8,0.28,Rural (Freshwater),0.01,3.298,0.1,0.3,0.008822,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Tin,"Tin, Tin-Lead, Indium",8,0.13,Rural (Freshwater),0.01,0.462,0.3,0.3,0.000625,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Nickel (active),"Nickel, Cobalt",16,0.18,Industrial (Acidic Rain),0.1,31.725,5.0,2.0,0.353393,Compatible
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.15,Industrial (Acidic Rain),0.1,0.767,1.0,5.0,0.007397,Compatible
Chlorimet 2,"Nickel, Cobalt",16,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.05,Rural (Freshwater),0.01,1.171,2.0,1.0,0.000585,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.48,Rural (Freshwater),0.01,3.176,5.0,5.0,0.013346,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.35,Marine (Seawater),5.0,1.576,5.0,1.0,0.085827,Compatible
Steel or iron,"Steels-Carbon, Low Alloy",6,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.28,Marine (Seawater),5.0,5.321,0.3,2.0,0.573216,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.47,Marine (Seawater),5.0,0.672,0.3,5.0,0.057976,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.53,Rural (Freshwater),0.01,0.168,5.0,2.0,0.000778,Unfavorable
Silver solder,Silver,18,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.3,Marine (Seawater),5.0,0.938,10.0,10.0,0.01396,Compatible
Gold,"Palladium, Rhodium, Gold, Platinum",19,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.06,Industrial (Acidic Rain),0.1,4.022,10.0,10.0,0.007577,Compatible
"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.2,Industrial (Acidic Rain),0.1,1.341,2.0,10.0,0.012006,Compatible
Nickel (passive),"Nickel, Cobalt",16,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.04,Marine (Seawater),5.0,0.372,2.0,5.0,0.00212,Compatible
Zinc,"Zinc, Zinc Coating",2,Gold,"Palladium, Rhodium, Gold, Platinum",19,1.19,Rural (Freshwater),0.01,2.513,0.1,10.0,0.027617,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Copper,"Copper-High Nickel, Monel",15,0.35,Industrial (Acidic Rain),0.1,0.367,0.3,1.0,0.011662,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.37,Marine (Seawater),5.0,0.07,0.3,1.0,0.016889,Unfavorable
Inconel (active),"Nickel, Cobalt",16,Nickel (passive),"Nickel, Cobalt",16,0.23,Rural (Freshwater),0.01,0.978,2.0,2.0,0.002397,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,Titanium,Titanium,17,0.39,Rural (Freshwater),0.01,1.005,2.0,10.0,0.003501,Unfavorable
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.25,Rural (Freshwater),0.01,1.11,2.0,5.0,0.002324,Compatible
Steel or iron,"Steels-Carbon, Low Alloy",6,Lead,Lead,7,0.14,Marine (Seawater),5.0,0.828,0.3,0.3,0.145249,Compatible
Magnesium and magnesium alloys,Magnesium,1,Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,0.87,Marine (Seawater),5.0,1.572,0.1,0.1,3.688483,Unfavorable
Zinc,"Zinc, Zinc Coating",2,18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.5,Marine (Seawater),5.0,0.2,0.1,5.0,0.019712,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.92,Industrial (Acidic Rain),0.1,7.116,0.1,10.0,0.288101,Unfavorable
Copper,"Copper-High Nickel, Monel",15,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.12,Rural (Freshwater),0.01,8.22,1.0,5.0,0.009552,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Nickel (active),"Nickel, Cobalt",16,0.18,Marine (Seawater),5.0,4.483,5.0,2.0,0.116592,Compatible
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.08,Marine (Seawater),5.0,3.8,1.0,2.0,0.093187,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.49,Rural (Freshwater),0.01,0.654,5.0,2.0,0.003136,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.44,Rural (Freshwater),0.01,5.661,2.0,10.0,0.019445,Unfavorable
Copper,"Copper-High Nickel, Monel",15,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.1,Marine (Seawater),5.0,0.338,1.0,5.0,0.005498,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.44,Industrial (Acidic Rain),0.1,0.307,0.3,1.0,0.011314,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Inconel (active),"Nickel, Cobalt",16,0.26,Industrial (Acidic Rain),0.1,8.257,0.3,2.0,0.170335,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.2,Rural (Freshwater),0.01,3.59,2.0,5.0,0.006078,Compatible
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.13,Rural (Freshwater),0.01,50.366,1.0,2.0,0.064612,Compatible
Lead,Lead,7,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.35,Rural (Freshwater),0.01,3.898,0.3,1.0,0.01391,Unfavorable
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.11,Rural (Freshwater),0.01,2.331,1.0,1.0,0.002773,Compatible
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Titanium,Titanium,17,0.24,Marine (Seawater),5.0,0.074,1.0,10.0,0.001548,Compatible
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.75,Rural (Freshwater),0.01,3.073,5.0,10.0,0.019855,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.23,Rural (Freshwater),0.01,0.341,2.0,5.0,0.000754,Compatible
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.14,Marine (Seawater),5.0,0.102,1.0,2.0,0.00458,Compatible
Nickel (passive),"Nickel, Cobalt",16,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.34,Rural (Freshwater),0.01,0.384,2.0,10.0,0.001058,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.56,Industrial (Acidic Rain),0.1,0.033,0.3,5.0,0.001174,Unfavorable
Cast iron,"Steels-Carbon, Low Alloy",6,Tin,"Tin, Tin-Lead, Indium",8,0.19,Rural (Freshwater),0.01,0.211,0.3,0.3,0.000448,Compatible
Lead,Lead,7,Chlorimet 2,"Nickel, Cobalt",16,0.19,Marine (Seawater),5.0,0.306,0.3,2.0,0.021162,Unfavorable
Silver,Silver,18,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.12,Marine (Seawater),5.0,0.713,10.0,10.0,0.004127,Compatible
Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,Silver solder,Silver,18,0.04,Marine (Seawater),5.0,0.015,1.0,10.0,5.1e-05,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.51,Marine (Seawater),5.0,6.029,0.3,5.0,0.563741,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Silver solder,Silver,18,0.43,Marine (Seawater),5.0,3.48,5.0,10.0,0.093695,Unfavorable
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.59,Marine (Seawater),5.0,3.688,0.1,5.0,0.407045,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.2,Rural (Freshwater),0.01,1.107,5.0,2.0,0.00201,Compatible
Copper,"Copper-High Nickel, Monel",15,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.16,Rural (Freshwater),0.01,1.918,1.0,2.0,0.003033,Compatible
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.45,Rural (Freshwater),0.01,0.301,1.0,10.0,0.001152,Unfavorable
18-8 Mo SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Inconel (active),"Nickel, Cobalt",16,0.18,Marine (Seawater),5.0,2.039,5.0,2.0,0.053212,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.38,Marine (Seawater),5.0,0.115,5.0,1.0,0.006406,Compatible
Lead,Lead,7,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.14,Rural (Freshwater),0.01,10.641,0.3,2.0,0.015658,Compatible
Cadmium,"Cadmium, Beryllium",3,Graphite,Graphite,20,0.83,Marine (Seawater),5.0,1.785,0.1,10.0,0.128287,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Cast iron,"Steels-Carbon, Low Alloy",6,0.0,Industrial (Acidic Rain),0.1,13.802,0.3,0.3,0.0,Compatible
Nickel (active),"Nickel, Cobalt",16,Graphite,Graphite,20,0.48,Marine (Seawater),5.0,2.509,2.0,10.0,0.098769,Unfavorable
Commercially pure aluminum (1100),"Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.68,Industrial (Acidic Rain),0.1,0.033,0.1,5.0,0.001503,Unfavorable
Nickel (active),"Nickel, Cobalt",16,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.31,Marine (Seawater),5.0,2.84,2.0,2.0,0.203215,Compatible
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.26,Industrial (Acidic Rain),0.1,1.184,5.0,10.0,0.012229,Unfavorable
"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.2,Marine (Seawater),5.0,4.013,2.0,10.0,0.067687,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.47,Rural (Freshwater),0.01,0.843,5.0,5.0,0.003504,Compatible
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.13,Marine (Seawater),5.0,0.506,1.0,5.0,0.011132,Unfavorable
Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.19,Industrial (Acidic Rain),0.1,0.693,1.0,2.0,0.0098,Compatible
Zinc,"Zinc, Zinc Coating",2,Nickel (active),"Nickel, Cobalt",16,0.68,Industrial (Acidic Rain),0.1,0.428,0.1,2.0,0.025341,Unfavorable
Gold,"Palladium, Rhodium, Gold, Platinum",19,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.06,Rural (Freshwater),0.01,0.752,10.0,10.0,0.000357,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,0.2,Marine (Seawater),5.0,0.275,5.0,2.0,0.008167,Compatible
Cadmium,"Cadmium, Beryllium",3,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.86,Industrial (Acidic Rain),0.1,1.452,0.1,10.0,0.065025,Unfavorable
Lead,Lead,7,Tin,"Tin, Tin-Lead, Indium",8,0.05,Marine (Seawater),5.0,5.296,0.3,0.3,0.31845,Compatible
Nickel (passive),"Nickel, Cobalt",16,Platinum,"Palladium, Rhodium, Gold, Platinum",19,0.34,Rural (Freshwater),0.01,7.964,2.0,10.0,0.023082,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,0.43,Industrial (Acidic Rain),0.1,0.389,0.3,1.0,0.014659,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.11,Industrial (Acidic Rain),0.1,13.85,2.0,1.0,0.11507,Compatible
Cadmium,"Cadmium, Beryllium",3,Lead-tin solders,"Tin, Tin-Lead, Indium",8,0.2,Rural (Freshwater),0.01,0.804,0.1,0.3,0.001626,Compatible
Steel or iron,"Steels-Carbon, Low Alloy",6,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.51,Industrial (Acidic Rain),0.1,0.451,0.3,5.0,0.014387,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.39,Rural (Freshwater),0.01,3.329,5.0,1.0,0.011652,Unfavorable
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Copper,"Copper-High Nickel, Monel",15,0.33,Rural (Freshwater),0.01,0.332,5.0,1.0,0.00111,Unfavorable
Tin,"Tin, Tin-Lead, Indium",8,Titanium,Titanium,17,0.48,Rural (Freshwater),0.01,0.812,0.3,10.0,0.003557,Unfavorable
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,Chlorimet 2,"Nickel, Cobalt",16,0.29,Industrial (Acidic Rain),0.1,0.124,5.0,2.0,0.002149,Unfavorable
Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.06,Rural (Freshwater),0.01,2.542,5.0,2.0,0.001393,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,Bronzes (Cu-Sn),"Brass-High Copper, Bronze-High Copper",14,0.43,Industrial (Acidic Rain),0.1,59.471,0.3,1.0,2.283834,Unfavorable
Cadmium,"Cadmium, Beryllium",3,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.86,Industrial (Acidic Rain),0.1,24.873,0.1,10.0,1.068939,Unfavorable
Nickel (active),"Nickel, Cobalt",16,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.2,Rural (Freshwater),0.01,0.134,2.0,1.0,0.000271,Compatible
Tin,"Tin, Tin-Lead, Indium",8,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.38,Industrial (Acidic Rain),0.1,0.488,0.3,2.0,0.014633,Unfavorable
Lead,Lead,7,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.42,Rural (Freshwater),0.01,0.511,0.3,5.0,0.002019,Unfavorable
18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,18-8 Mo SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.03,Rural (Freshwater),0.01,1.887,5.0,5.0,0.000515,Compatible
"2024 aluminum (4.5 Cu, 1.5 Mg, 0.6 Mn)","Aluminum, Mg-Coated Aluminum, Zn-Coated Aluminum",4,Tin,"Tin, Tin-Lead, Indium",8,0.27,Marine (Seawater),5.0,8.451,0.1,0.3,3.834718,Unfavorable
Chlorimet 2,"Nickel, Cobalt",16,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.13,Rural (Freshwater),0.01,1.346,2.0,1.0,0.00155,Compatible
Inconel (active),"Nickel, Cobalt",16,Brasses (Cu-Zn),"Brass-Low Copper, Bronze-Low Copper",13,0.12,Marine (Seawater),5.0,4.467,2.0,1.0,0.163575,Compatible
Cast iron,"Steels-Carbon, Low Alloy",6,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.44,Marine (Seawater),5.0,2.162,0.3,1.0,0.658073,Unfavorable
Copper,"Copper-High Nickel, Monel",15,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.36,Rural (Freshwater),0.01,0.124,1.0,10.0,0.000407,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,0.33,Industrial (Acidic Rain),0.1,6.703,0.3,1.0,0.201341,Unfavorable
"Inconel (passive) (80 Ni, 13 Cr, 7 Fe)","Copper-High Nickel, Monel",15,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.02,Rural (Freshwater),0.01,0.595,1.0,5.0,0.000114,Compatible
Chromium SS 13% (active),"St. Steels-Martensitic, Ferritic",9,"Chlorimet 3 (62 Ni, 18 Cr, 18 Mo)","Nickel, Cobalt",16,0.53,Rural (Freshwater),0.01,1.599,5.0,2.0,0.007909,Unfavorable
Steel or iron,"Steels-Carbon, Low Alloy",6,Gold,"Palladium, Rhodium, Gold, Platinum",19,0.77,Rural (Freshwater),0.01,1.297,0.3,10.0,0.009188,Unfavorable
Lead-tin solders,"Tin, Tin-Lead, Indium",8,Chromium SS 11-30% (passive),"St. Steels-Martensitic, Ferritic",9,0.4,Industrial (Acidic Rain),0.1,0.573,0.3,5.0,0.014421,Compatible
"Hastelloy B (65 Ni, 28 Mo, 6 Fe)","Nickel, Cobalt",16,"Monel (70 Ni, 30 Cu)","Copper-High Nickel, Monel",15,0.18,Industrial (Acidic Rain),0.1,0.122,2.0,1.0,0.001637,Compatible
Inconel (active),"Nickel, Cobalt",16,Graphite,Graphite,20,0.48,Industrial (Acidic Rain),0.1,0.726,2.0,10.0,0.015518,Unfavorable
"Cupronickels (60-90 Cu, 40-10 Ni)","Copper-High Nickel, Monel",15,18-8 SS (passive),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,0.09,Marine (Seawater),5.0,3.875,1.0,5.0,0.057585,Compatible
Lead-tin solders,"Tin, Tin-Lead, Indium",8,"Hastelloy C (62 Ni, 17 Cr, 15 Mo)","Nickel, Cobalt",16,0.46,Marine (Seawater),5.0,0.725,0.3,2.0,0.129784,Unfavorable
Ni-Resist (high nickel cast iron),"Steels-Carbon, Low Alloy",6,Nickel (active),"Nickel, Cobalt",16,0.2,Rural (Freshwater),0.01,5.901,0.3,2.0,0.011649,Compatible
18-8 SS (active),"St. Steels-Aust., PH, Super Strength, Heat Resistant",11,Titanium,Titanium,17,0.59,Rural (Freshwater),0.01,0.189,5.0,10.0,0.000959,Unfavorable
